Time_Index,No_fuel,new_england_coal,new_england_naturalgas,new_england_uranium,middle_atlantic_naturalgas,middle_atlantic_uranium,middle_atlantic_coal,east_north_central_coal,east_north_central_naturalgas,east_north_central_uranium,new_england_naturalgas_ccs100,middle_atlantic_naturalgas_ccs100,east_north_central_naturalgas_ccs90,east_north_central_naturalgas_ccs100
112,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
113,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
114,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
115,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
116,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
117,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
118,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
119,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
120,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
121,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
122,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
123,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
124,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
125,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
126,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
127,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
128,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
129,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
130,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
131,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
132,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
133,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
134,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
135,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
136,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
137,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
138,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
139,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
140,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
141,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
142,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
143,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
144,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
145,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
146,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
147,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
148,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
149,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
150,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
151,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
152,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
153,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
154,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
155,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
156,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
157,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
158,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
159,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
160,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
161,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
162,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
163,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
164,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
165,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
166,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
167,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
168,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
169,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
170,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
171,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
172,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
173,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
174,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
175,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
176,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
177,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
178,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
179,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
180,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
181,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
182,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
183,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
184,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
185,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
186,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
187,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
188,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
189,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
190,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
191,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
192,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
193,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
194,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
195,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
196,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
197,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
198,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
199,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
200,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
201,0.0,0.0,4.04,0.81,3.39,0.81,2.12,2.06,3.68,0.81,4.04,3.39,3.68,3.68
